GitHub Repo,Label1 (Y/N),Label2 (Y/N),Final Label
tensorflow/examples,N,Y,
tensorflow/fairness-indicators,N,Y,
tensorflow/federated,N,Y,
tensorflow/graphics,N,Y,
tensorflow/io,Y,N,
tensorflow/lucid,Y,N,
tensorflow/mesh,N,Y,
tensorflow/model-analysis,Y,Y,Y
tensorflow/models,N,N,N
tensorflow/privacy,N,Y,
tensorflow/quantum,N,Y,
tensorflow/ranking,N,Y,
tensorflow/serving,Y,Y,Y
tensorflow/tcav,N,Y,
tensorflow/text,N,N,N
tensorflow/tfjs,Y,Y,Y
tensorforce/tensorforce,Y,Y,Y
tensorlayer/RLzoo,Y,Y,Y
tensorlayer/hyperpose,N,Y,
tensorlayer/tensorlayer,Y,Y,Y
tensorpack/tensorpack,Y,Y,Y
tensorwerk/hangar-py,Y,Y,Y
tf-encrypted/tf-encrypted,Y,Y,Y
thu-ml/tianshou,Y,Y,Y
thunlp/OpenNRE,N,Y,
tianzhi0549/FCOS,Y,Y,Y
timesler/facenet-pytorch,N,Y,
tirthajyoti/Machine-Learning-with-Python,N,N,N
tlatkowski/multihead-siamese-nets,N,Y,
tobybreckon/fire-detection-cnn,N,Y,
tofunlp/lineflow,N,Y,
torchgan/torchgan,N,Y,
totalgood/nlpia,N,Y,
trekhleb/machine-learning-experiments,N,N,N
tristandeleu/pytorch-maml-rl,N,Y,
tristandeleu/pytorch-meta,N,Y,
tslearn-team/tslearn,N,Y,
uTensor/uTensor,N,Y,
uber/causalml,N,Y,
uber/ludwig,Y,Y,Y
udacity/CarND-Capstone,N,N,N
ultralytics/xview-yolov3,N,Y,
ultralytics/yolov3,N,Y,
ultralytics/yolov5,N,Y,
urduhack/urduhack,N,Y,
vaexio/vaex,Y,Y,Y
vanvalenlab/deepcell-tf,N,Y,
veaba/ncov,N,Y,
vespa-engine/sample-apps,Y,Y,Y
videoflow/videoflow,Y,Y,Y
vita-epfl/monoloco,Y,Y,Y
vita-epfl/openpifpaf,Y,Y,Y
vwxyzjn/cleanrl,N,Y,
wandb/client,Y,N,
wandb/examples,N,N,N
wikipedia2vec/wikipedia2vec,N,Y,
wjmaddox/swa_gaussian,N,Y,
wubinzzu/NeuRec,N,Y,
x4nth055/pythoncode-tutorials,Y,N,
xiaomiwujiecao/DataAnalysisInAction,N,N,N
yahoo/TensorFlowOnSpark,Y,Y,Y
yehengchen/Object-Detection-and-Tracking,N,N,N
yongzhuo/nlp_xiaojiang,N,N,N
yoyoyo-yo/DeepLearningMugenKnock,N,N,N
yunjey/pytorch-tutorial,N,N,N
yzhao062/pyod,N,Y,
zalandoresearch/pytorch-ts,N,Y,
zeusees/HyperLPR,N,N,N
zhanghang1989/PyTorch-Encoding,N,Y,
zhijian-liu/torchprofile,N,N,N
zyfra/ebonite,N,Y,
,,,336
